numPlayers,threshold,winRate,avgSamplesPerThreshold
2,3,55,800000
2,4,51,600000
2,5,52,600000
2,6,54,800000
2,7,55,000000
2,8,57,800000
2,9,55,000000
2,10,54,800000
2,11,57,600000
2,12,59,000000
2,13,61,800000
2,14,61,400000
2,15,65,400000
2,16,67,600000
2,17,73,400000
2,18,75,200000
2,19,74,800000
2,20,84,400000
2,21,88,400000
2,22,86,800000
2,23,88,200000
2,24,87,800000
2,25,91,400000
2,26,91,400000
3,3,64,600000
3,4,63,800000
3,5,63,600000
3,6,62,800000
3,7,62,600000
3,8,64,800000
3,9,66,800000
3,10,63,600000
3,11,63,800000
3,12,65,800000
3,13,63,200000
3,14,60,000000
3,15,62,800000
3,16,62,800000
3,17,59,200000
3,18,62,200000
3,19,55,000000
3,20,57,400000
3,21,57,000000
3,22,56,200000
3,23,57,800000
3,24,54,400000
3,25,58,800000
3,26,59,400000
4,3,74,200000
4,4,71,000000
4,5,73,600000
4,6,77,400000
4,7,72,400000
4,8,72,000000
4,9,69,000000
4,10,69,800000
4,11,65,600000
4,12,68,400000
4,13,68,200000
4,14,68,200000
4,15,66,600000
4,16,64,600000
4,17,64,800000
4,18,58,400000
4,19,63,400000
4,20,60,400000
4,21,63,400000
4,22,64,000000
4,23,62,600000
4,24,60,000000
4,25,61,200000
4,26,61,000000
5,3,76,200000
5,4,78,000000
5,5,77,200000
5,6,76,200000
5,7,78,000000
5,8,81,000000
5,9,73,200000
5,10,72,200000
5,11,70,600000
5,12,75,400000
5,13,71,600000
5,14,69,600000
5,15,73,000000
5,16,70,400000
5,17,67,800000
5,18,70,800000
5,19,64,400000
5,20,64,000000
5,21,71,800000
5,22,70,800000
5,23,66,600000
5,24,68,200000
5,25,61,400000
5,26,69,000000
6,3,80,200000
6,4,81,400000
6,5,80,800000
6,6,80,800000
6,7,77,200000
6,8,79,000000
6,9,79,600000
6,10,77,000000
6,11,75,000000
6,12,73,600000
6,13,74,400000
6,14,73,000000
6,15,71,800000
6,16,70,600000
6,17,73,600000
6,18,69,200000
6,19,73,600000
6,20,71,800000
6,21,70,800000
6,22,70,400000
6,23,71,400000
6,24,73,000000
6,25,72,200000
6,26,73,800000
